# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	898
#@/user_id	rime
a 	啊	c=4 d=1.87117 t=898
yuan gao 	原稿	c=1 d=0.985112 t=898
yuan su 	元素	c=1 d=1 t=484
yuan zi zhong 	原子鐘	c=1 d=1 t=610
yuan zui 	原罪	c=1 d=0.442639 t=898
yue 	月	c=2 d=0.951229 t=898
yun 	云	c=1 d=0.99005 t=898
yun wei 	運維	c=1 d=1 t=831
yun xing qing kuang 	運行情況	c=1 d=1 t=811
yun ying shang 	運營商	c=1 d=1 t=862
za yang 	咋樣	c=0 d=0.0767206 t=898
za yang la 	咋樣啦	c=1 d=0.771052 t=898
zai 	再	c=1 d=0.83527 t=898
zai 	在	c=2 d=0.818731 t=898
zai ru 	載入	c=1 d=0.99005 t=898
zan 	讚	c=1 d=1 t=562
zao xing 	造型	c=1 d=1 t=545
ze 	澤	c=1 d=0.704688 t=898
zei chao 	賊巢	c=1 d=0.873716 t=898
zen me 	怎麼	c=1 d=0.895834 t=898
zen me le 	怎麼了	c=1 d=1 t=474
zen me shuo 	怎麼說	c=1 d=1 t=499
zeng jia 	增加	c=3 d=2.51154 t=898
zhan 	戰	c=1 d=0.88692 t=898
zhan nei 	站內	c=1 d=1 t=631
zhang 	張	c=2 d=0.701173 t=898
zhang hu 	賬戶	c=1 d=1 t=706
zhang peng 	帳篷	c=0 d=0.1 t=514
zhao 	趙	c=1 d=0.66365 t=898
zhe ge 	這個	c=1 d=1 t=544
zhe me 	這麼	c=0 d=0.0640824 t=898
zhen jing 	震驚	c=0 d=0.1 t=545
zhen jing le 	震驚了	c=1 d=1 t=546
zheng fu 	政府	c=1 d=0.429557 t=898
zheng wu 	政務	c=2 d=0.659776 t=898
zheng wu ji piao 	政務機票	c=1 d=0.565525 t=898
zhi ban 	值班	c=2 d=1.86071 t=611
zhi bao 	之寶	c=0 d=0.0392586 t=898
zhi chi 	支持	c=1 d=1 t=726
zhi dao 	指導	c=4 d=3.19474 t=510
zhi dao 	知道	c=0 d=0.1 t=420
zhi fu 	支付	c=1 d=0.631284 t=898
zhi jin 	至今	c=1 d=0.618783 t=898
zhi luo 	直落	c=0 d=0.0458406 t=898
zhi luo ming xia 	直落名下	c=1 d=0.460704 t=898
zhi wen 	指紋	c=1 d=0.637628 t=898
zhi yuan shu 	志願書	c=0 d=0.0554327 t=898
zhong 	中	c=4 d=2.78072 t=773
zhong guo 	中國	c=3 d=0.960789 t=898
zhong guo jiao tong jian she 	中國交通建設	c=0 d=0.070822 t=898
zhong guo jiao tong jian she you xian gong si 	中國交通建設有限公司	c=1 d=0.71177 t=898
zhong qi 	中期	c=1 d=1 t=874
zhong ruan 	中軟	c=0 d=0.0980199 t=898
zhong ruan ji tuan 	中軟集團	c=1 d=0.985112 t=898
zhong wen 	中文	c=1 d=0.726149 t=898
zhong xin 	中心	c=1 d=1 t=591
zhu 	住	c=0 d=0.1 t=514
zhu ce 	註冊	c=1 d=1 t=898
zhu hai 	珠海	c=1 d=0.609571 t=898
zhu ji 	主機	c=0 d=0.0373439 t=898
zhu jiang 	珠江	c=0 d=0.0527292 t=898
zhu jiang ji tuan 	珠江集團	c=1 d=0.529935 t=898
zhu yao 	主要	c=3 d=0.811208 t=898
zhu zhang peng 	住帳篷	c=1 d=1 t=515
zhuang 	莊	c=2 d=1.42002 t=898
zhun bei 	準備	c=2 d=1.51164 t=898
zhun ri 	準日	c=1 d=0.900325 t=898
zi dong 	自動	c=1 d=0.99005 t=898
zi guang ge 	紫光閣	c=2 d=1.12826 t=898
zi ji 	自己	c=1 d=0.904837 t=898
zi jin 	資金	c=1 d=1 t=893
zi liao 	資料	c=4 d=2.57692 t=898
zong jia 	總價	c=1 d=1 t=837
zui jin 	最近	c=0 d=0.0786628 t=898
zuo le 	做了	c=2 d=1.57897 t=898
